,금융회사,상품명,적립방식,세전이자율,최고우대금리,가입대상,이자계산방식,우대조건,가입방법,만기후이자율,기타유의사항,개월수,상품종류
54,농협은행주식회사,NH올원e 미니적금,자유적립식,3.00%,4.70%,개인,단리,"1. 자동이체 입금횟수 우대금리 : 최고 0.5%p - 5회이상 : 0.2%p, 10회이상 : 0.3%p, 15회이상 0.5%p 2. 목표금액 달성 축하금리 : 0.5%p 3. MZ세대(만 19~34세)) 우대금리 : 0.5%p 4. 직전 1년간 당행 예적금(청약포함) 미보유 고객 : 0.2%p",스마트폰,만기후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본금리의 1/2만기후 1년 초과 : 보통예금 금리,가입기간 1개월 이상 6개월 이하(일 단위)초입금 및 매일 1천원이상 5만원이내(천원 단위),6,적금
55,중소기업은행,IBK D-day적금(자유적립식),자유적립식,3.10%,4.60%,실명의 개인(개인사업자 제외),단리,최고 연 1.5%p 1. 목표달성 축하금리 : 연 1.0%p - 당행 입출금식 계좌에서 이 적금으로 자동이체를 통해 3회 이상 납입하고 만기일 전일까지 목표금액(신규 시 직접 설정) 이상 납입하는 경우 2. 최초거래고객 우대금리 : 연 0.5%p,스마트폰,만기일 당시 정기적금 만기후금리 적용- 1개월 이내: 만기일 당시 약정금리x50%- 1월 초과 6개월 이내: 만기일 당시 약정금리x30%- 6개월 초과: 만기일 당시 약정금리x20%,"1인당 3계좌 가입 가능하며, 계좌당 20만원 이내 납입 가능",6,적금
56,신한은행,한 달부터 적금 (매주입금),자유적립식,2.50%,4.50%,제한없음,단리,※가산금리 최고 연 2.0% - 주 납입: 총 납입 회차의 90%이상 납입 달성,"영업점,스마트폰","-1개월 이하:(일반) 정기적금 기본금리 1/2(단, 최저금리 0.10%)-1개월 초과~6개월 이하: (일반) 정기적금 기본금리의 1/4(단, 최저금리 0.10%)-6개월 초과 0.10%",1.가입한도:- 매주입금: 주 10만원이내,6,적금
57,토스뱅크 주식회사,토스뱅크 굴비 적금,자유적립식,2.00%,4.50%,· 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인,단리,· 만기 해지 시 : 연 2.50% 제공,스마트폰,· 만기 후 1개월 이내 : 만기시점 기본금리 X 50% · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20% · 만기 후 3개월 초과 : 연 0.10%,"· 1인 1계좌 (단, 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)· 가입금액 : 0원· 우대금리는 만기 해지하는 경우에만 제공됨",6,적금
58,광주은행,해피라이프_여행스케치적금V,정액적립식,3.10%,4.30%,"제한없음(단,국가및지방자치단체제외)",단리,▶ 최고우대금리 1.20%p ①해피라이프_여행스케치외화적금V 동일자가입 0.5%p ②해지원금 기준 500만원이상 : 최고0.2%p ③신용(체크)카드사용실적300만원이상:최고 0.3%p ④개인(신용)정보 동의: 0.2%p,"영업점,스마트폰",*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 *만기후 1개월 초과: 0.1%,1. 가입기간 : 6개월이상 3년제2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌),6,적금
59,경남은행,BNK더조은자유적금,자유적립식,3.45%,4.15%,"거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.",단리,①오픈뱅킹서비스 가입 0.20%(만기까지 유지) ②당행 입출금통장에서 자동이체시 입금건별 0.20% ③이 상품 신규시 금리우대쿠폰을 등록할 경우 0.30%,"인터넷,스마트폰",만기후 1개월 이내: 일반정기예금 기본이율의 50%만기후 1개월 초과: 일반정기예금 기본이율의 20%,1. 계약기간은 6개월 이상 2년 이내 월단위로 한다.2. 초입금 1만원 이상 월별 500만원 이내에서 자유롭게 저축3. 최대 저축횟수는 999회 이내,6,적금
60,광주은행,해피라이프_여행스케치적금V,자유적립식,2.90%,4.10%,"제한없음(단,국가및지방자치단체제외)",단리,▶ 최고우대금리 1.20%p ①해피라이프_여행스케치외화적금V 동일자가입 0.5%p ②해지원금 기준 500만원이상 : 최고0.2%p ③신용(체크)카드사용실적300만원이상:최고 0.3%p ④개인(신용)정보 동의: 0.2%p,"영업점,스마트폰",*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 *만기후 1개월 초과: 0.1%,1. 가입기간 : 6개월이상 3년제2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌),6,적금
61,주식회사 케이뱅크,주거래우대 자유적금,자유적립식,3.50%,4.10%,만 17세 이상 실명의 개인 및 개인사업자,단리,"급여이체 또는 통신비 자동이체, 체크카드 고객에게 우대금리 제공 (최고 연 0.6%)",스마트폰,만기 후 - 1개월 이내: 만기시점 기본금리 X 50% - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30%- 6개월 초과: 연 0.20%,가입금액: 1천원 이상 300만원 이하가입기간: 6개월 ~ 36개월(1인 최대 3계좌),6,적금
62,수협은행,헤이(Hey)적금(자유적립식),자유적립식,3.10%,4.00%,실명의 개인,단리,* 최대우대금리:0.9% 1. 마케팅동의 : 0.1% (신규시) 2. 자동이체 납입 : 0.8% (만기시) ※단위:연%p,스마트폰,* 만기후 1년 이내 - 만기당시 상호부금계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,*1인 1계좌*월 가입한도 : 100만원*스마트폰 전용,6,적금
63,수협은행,헤이(Hey)적금(정액적립식),정액적립식,3.10%,4.00%,실명의 개인,단리,* 최대우대금리:0.9% 1. 마케팅동의 : 0.1% (신규시) 2. 자동이체 납입 : 0.8% (만기시) ※단위:연%p,스마트폰,* 만기후 1년 이내 - 만기당시 정기적금 계약기간별 기본금리 1/2* 만기후 1년 초과 - 만기당시 보통예금 기본금리,*1인 1계좌*월 가입한도 : 100만원*스마트폰 전용,6,적금
64,아산저축은행,SB톡톡-정기예금,자유적립식,4.00%,4.00%,제한없음,단리,없음,스마트폰,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,6,적금
65,아산저축은행,SB톡톡-정기예금,자유적립식,4.00%,4.00%,제한없음,복리,없음,스마트폰,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,6,적금
66,토스뱅크 주식회사,토스뱅크 키워봐요 적금,자유적립식,2.00%,4.00%,· 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인,단리,· 적금 가입 시 설정되는 주 단위 자동이체를 통하여 25회 이상 적립한 경우 : 연 2.00% 제공,스마트폰,· 만기 후 1개월 이내 : 만기시점 기본금리 X 50% · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20% · 만기 후 3개월 초과 : 연 0.10%,"· 1인 1계좌 (단, 이벤트 등으로 토스뱅크가 복수의 계좌개설을 허용하는 경우 추가 개설 가능)· 가입금액 : 0원· 우대금리는 우대조건을 달성하고 만기 해지하는 경우에만 제공됨",6,적금
67,CK저축은행,정기적금,정액적립식,4.00%,4.00%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
68,CK저축은행,정기적금,자유적립식,4.00%,4.00%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
69,CK저축은행,정기적금,정액적립식,4.00%,4.00%,제한없음,복리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
70,CK저축은행,정기적금,자유적립식,4.00%,4.00%,제한없음,복리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
71,CK저축은행,정기적금,정액적립식,4.00%,4.00%,제한없음,단리,없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
72,CK저축은행,정기적금,정액적립식,4.00%,4.00%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
73,CK저축은행,"정기적금(인터넷,모바일,비대면)",자유적립식,4.00%,4.00%,제한없음,복리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
74,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.00%,4.00%,제한없음,복리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
75,CK저축은행,"정기적금(인터넷,모바일,비대면)",자유적립식,4.00%,4.00%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
76,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.00%,4.00%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,6,적금
77,아산저축은행,SB톡톡-정기예금,정액적립식,3.93%,3.93%,제한없음,복리,없음,스마트폰,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,6,적금
78,남양저축은행,정기적금,정액적립식,3.90%,3.90%,"만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인 납세자에 해당하지 않는 고객",단리,없음,스마트폰,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지 이율 : 1개월미만 : 계약일의 보통예금 금리, 1개월이상 6개월미만 : 약정이율의 50%, 6개월이상 12개월미만 : 약정이율의 55%. 12개월 이상 : 약정이율의 65%",6,적금
79,남양저축은행,정기적금,정액적립식,3.90%,3.90%,제한없음,단리,없음,영업점,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지 이율 : 1개월미만 : 계약일의 보통예금 금리, 1개월이상 6개월미만 : 약정이율의 50%, 6개월이상 12개월미만 : 약정이율의 55%. 12개월 이상 : 약정이율의 65%",6,적금
80,남양저축은행,정기적금,정액적립식,3.90%,3.90%,제한없음,단리,없음,"인터넷,스마트폰","만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지 이율 : 1개월미만 : 계약일의 보통예금 금리, 1개월이상 6개월미만 : 약정이율의 50%, 6개월이상 12개월미만 : 약정이율의 55%. 12개월 이상 : 약정이율의 65%",6,적금
81,아산저축은행,SB톡톡-정기예금,정액적립식,3.90%,3.90%,제한없음,단리,없음,스마트폰,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,6,적금
82,아이엠뱅크,내가만든 보너스적금,자유적립식,3.05%,3.85%,실명의 개인,단리,*최고우대금리 : 연0.80%p -인터넷/모바일뱅킹으로 신규 : 연0.20%p -상품 가입 전 마케팅활용[개인(신용)정보수집이용동의] 전체 동의 : 연0.20%p (계약기간 1년인 경우 만기일 기준) -당행 계좌로 자동이체 8회 이상 입금 : 연0.20%p -원금합계 100만원 이상 : 연0.10%p 또는 원금합계 200만원 이상 : 연0.20%p,"영업점,인터넷,스마트폰",만기 후 1개월 미만 경과: 약정이자율 x 50%만기 후 3개월 미만 경과: 약정이자율 x 25%만기 후 3개월 이상 경과: 약정이자율 x 10%,1계좌당 가입한도 : 월20만원(최저 1만원 이상),6,적금
83,안국저축은행,정기적금,정액적립식,3.80%,3.80%,제한없음,단리,없음,영업점,0.002,없음,6,적금
84,안국저축은행,정기적금(비대면),정액적립식,3.80%,3.80%,제한없음,단리,없음,스마트폰,0.002,없음,6,적금
85,안국저축은행,e-정기적금,정액적립식,3.80%,3.80%,제한없음,단리,없음,"인터넷,스마트폰",0.002,없음,6,적금
86,엔에이치저축은행,비대면정기적금,정액적립식,3.80%,3.80%,제한없음,단리,없음,"인터넷,스마트폰",-1개월 이내: 지급 전일까지 해당 계좌의 약정금리와 기간별 적용금리 중 낮은 금리-1개월 초과: 지급일 당시 보통예금 이율,-가입금액: 월불입금 1만원 이상-가입기간: 6개월이상 36개월 이하,6,적금
87,엔에이치저축은행,정기적금,정액적립식,3.70%,3.80%,제한없음,단리,NH멤버스 회원인 경우 연 0.1% 우대금리 적용,영업점,-1개월 이내: 지급 전일까지 해당 계좌의 약정금리와 기간별 적용금리 중 낮은 금리-1개월 초과: 지급일 당시 보통예금 이율,-가입금액: 월불입금 1만원 이상-가입기간: 6개월이상 36개월 이하,6,적금
88,웰컴저축은행,정기적금,정액적립식,2.90%,3.70%,제한없음,단리,계약기간(월수)의 2/3회 이상 당행 입출금통장 통한 자동이체 시 연 0.8%p,영업점,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",영업점 전용상품,6,적금
89,웰컴저축은행,정기적금,정액적립식,2.90%,3.70%,제한없음,단리,계약기간(월수)의 2/3회 이상 당행 입출금통장 통한 자동이체 시 연 0.8%p,인터넷,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",인터넷뱅킹 전용상품,6,적금
90,웰컴저축은행,정기적금,정액적립식,2.90%,3.70%,제한없음,단리,계약기간(월수)의 2/3회 이상 당행 입출금통장 통한 자동이체 시 연 0.8%p,스마트폰,"*만기 후 1개월 이하 : 이 예금의 가입 당시 약정금리나 만기시점의 동일 상품, 동일 계약기간의 신규약정금리 중 낮은 금리를 적용 *만기 후 1개월 초과 : 연 0.1% ※ 만기시점의 동일 상품, 동일 계약기간이 없을 경우 가입 당시의 약정금리를 적용",스마트(모바일)뱅킹 전용상품,6,적금
91,청주저축은행,정기적금,자유적립식,3.70%,3.70%,제한없음,단리,없음,영업점,1개월이내 : 만기시 동일사품 동일계약기간의 신규 약정금리1개월초과 : 보통예금이율,상품 문의 ☎ 043-256-9114,6,적금
92,다올저축은행,Fi 정기적금 (대면),정액적립식,3.60%,3.60%,제한없음,단리,없음,영업점,- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용- 1개월 초과 : 연0.1%,* 중도해지이율 (입금액마다 경과기간별 차등 적용)- 1개월미만 : 가입일의 보통예금 금리- 6개월미만 : 약정이율X50%- 9개월미만 : 약정이율X55%- 12개월미만 : 약정이율X60%- 12개월이상 : 약정이율X70%,6,적금
